date,n_dev,n_succ,n_rounds,prop_data_eav,n_class_eav,class_dist_eav,greedy,eaves_acc,smart_eaves_accuracy,learner_acc,learning_queries
2023-08-14_21:21:28,20,30,120,0.1,2,0.99,False,0.9045454545454545, 0.33636363636363636, 0.925357142857143, 51
2023-08-14_21:22:03,20,30,120,0.1,2,0.99,True,0.8568181818181818, 0.36818181818181817, 0.831547619047619, 51
2023-08-14_21:23:34,20,30,120,0.1,2,0.9,False,0.9045454545454545, 0.725, 0.925357142857143, 51
2023-08-14_21:24:09,20,30,120,0.1,2,0.9,True,0.8568181818181818, 0.36818181818181817, 0.831547619047619, 51
2023-08-14_21:25:40,20,30,120,0.1,2,0.2,False,0.9045454545454545, 0.9272727272727272, 0.925357142857143, 51
2023-08-14_21:26:16,20,30,120,0.1,2,0.2,True,0.8568181818181818, 0.36818181818181817, 0.831547619047619, 51
2023-08-14_21:27:47,20,30,120,0.1,5,0.99,False,0.9181818181818182, 0.7840909090909091, 0.9239285714285714, 52
2023-08-14_21:28:21,20,30,120,0.1,5,0.99,True,0.8431818181818181, 0.3522727272727273, 0.8166666666666667, 51
2023-08-14_21:29:52,20,30,120,0.1,5,0.9,False,0.9181818181818182, 0.9, 0.9239285714285714, 52
2023-08-14_21:30:27,20,30,120,0.1,5,0.9,True,0.8431818181818181, 0.3522727272727273, 0.8166666666666667, 51
2023-08-14_21:31:58,20,30,120,0.1,5,0.5,False,0.9181818181818182, 0.9318181818181818, 0.9239285714285714, 52
2023-08-14_21:32:33,20,30,120,0.1,5,0.5,True,0.8431818181818181, 0.3522727272727273, 0.8166666666666667, 51
2023-08-14_21:34:07,20,30,120,0.1,8,0.99,False,0.9454545454545454, 0.8977272727272727, 0.9255952380952381, 35
2023-08-14_21:34:42,20,30,120,0.1,8,0.99,True,0.8295454545454546, 0.3795454545454545, 0.8190476190476191, 49
2023-08-14_21:36:18,20,30,120,0.1,8,0.9,False,0.9454545454545454, 0.9568181818181818, 0.9255952380952381, 35
2023-08-14_21:36:53,20,30,120,0.1,8,0.9,True,0.8295454545454546, 0.3795454545454545, 0.8190476190476191, 49
2023-08-14_21:38:26,20,30,120,0.1,8,0.8,False,0.9454545454545454, 0.9431818181818182, 0.9255952380952381, 35
2023-08-14_21:39:02,20,30,120,0.1,8,0.8,True,0.8295454545454546, 0.3795454545454545, 0.8190476190476191, 49
2023-08-14_21:40:36,20,30,120,0.4,2,0.99,False,0.9431818181818182, 0.44545454545454544, 0.9238095238095239, 39
2023-08-14_21:41:09,20,30,120,0.4,2,0.99,True,0.8590909090909091, 0.21136363636363636, 0.8154761904761907, 60
2023-08-14_21:42:45,20,30,120,0.4,2,0.9,False,0.9431818181818182, 0.9068181818181819, 0.9238095238095239, 39
2023-08-14_21:43:18,20,30,120,0.4,2,0.9,True,0.8590909090909091, 0.21136363636363636, 0.8154761904761907, 60
2023-08-14_21:44:52,20,30,120,0.4,2,0.2,False,0.9431818181818182, 0.9727272727272728, 0.9238095238095239, 39
2023-08-14_21:45:25,20,30,120,0.4,2,0.2,True,0.8590909090909091, 0.21136363636363636, 0.8154761904761907, 60
2023-08-14_21:46:56,20,30,120,0.4,5,0.99,False,0.9022727272727272, 0.7068181818181818, 0.9215476190476191, 55
2023-08-14_21:47:29,20,30,120,0.4,5,0.99,True,0.8340909090909091, 0, 0.8190476190476191, 67
2023-08-14_21:49:02,20,30,120,0.4,5,0.9,False,0.9022727272727272, 0.9204545454545454, 0.9215476190476191, 55
2023-08-14_21:49:35,20,30,120,0.4,5,0.9,True,0.8340909090909091, 0, 0.8190476190476191, 67
2023-08-14_21:51:08,20,30,120,0.4,5,0.5,False,0.9022727272727272, 0.9704545454545455, 0.9215476190476191, 55
2023-08-14_21:51:41,20,30,120,0.4,5,0.5,True,0.8340909090909091, 0, 0.8190476190476191, 67
2023-08-14_21:53:15,20,30,120,0.4,8,0.99,False,0.9318181818181818, 0.8977272727272727, 0.9257142857142858, 55
2023-08-14_21:53:48,20,30,120,0.4,8,0.99,True,0.8681818181818182, 0, 0.8089285714285716, 62
2023-08-14_21:55:22,20,30,120,0.4,8,0.9,False,0.9318181818181818, 0.9363636363636364, 0.9257142857142858, 55
2023-08-14_21:55:55,20,30,120,0.4,8,0.9,True,0.8681818181818182, 0, 0.8089285714285716, 62
2023-08-14_21:57:31,20,30,120,0.4,8,0.8,False,0.9318181818181818, 0.9545454545454546, 0.9257142857142858, 55
2023-08-14_21:58:03,20,30,120,0.4,8,0.8,True,0.8681818181818182, 0, 0.8089285714285716, 62
2023-08-14_22:00:15,20,30,120,1,2,0.99,False,0.8568181818181818, 0.6318181818181818, 0.9304761904761906, 33
2023-08-14_22:00:50,20,30,120,1,2,0.99,True,0.85, 0.29772727272727273, 0.8220238095238097, 49
2023-08-14_22:03:02,20,30,120,1,2,0.9,False,0.8568181818181818, 0.9159090909090909, 0.9304761904761906, 33
2023-08-14_22:03:37,20,30,120,1,2,0.9,True,0.85, 0.29772727272727273, 0.8220238095238097, 49
2023-08-14_22:05:49,20,30,120,1,2,0.2,False,0.8568181818181818, 0.9681818181818181, 0.9304761904761906, 33
2023-08-14_22:06:25,20,30,120,1,2,0.2,True,0.85, 0.29772727272727273, 0.8220238095238097, 49
2023-08-14_22:08:13,20,30,120,1,5,0.99,False,0.925, 0.8204545454545454, 0.9257142857142859, 42
2023-08-14_22:08:48,20,30,120,1,5,0.99,True,0.8477272727272728, 0.3886363636363636, 0.8154761904761904, 49
