,n_dev,n_class_eav,prop_data_eav,class_dist_eav,greedy_eav_acc,greedy_eav_acc_std,optimal_eav_acc,optimal_eav_acc_std,greedy_learner_acc_mean,greedy_learner_acc_std,optimal_learner_acc_mean,optimal_learner_acc_std
24,20,8,1.0,0.99,0.9304545454545454,0.012549260145968905,0.945,0.014285878262209912,0.9114880952380953,0.03002556492399078,0.9244999999999999,0.006972573416275468
23,20,8,1.0,0.9,0.9304545454545454,0.012549260145968905,0.9695454545454545,0.011348474733984223,0.9114880952380953,0.03002556492399078,0.9244999999999999,0.006972573416275468
22,20,8,1.0,0.8,0.9304545454545454,0.012549260145968905,0.9695454545454545,0.01360265193179597,0.9114880952380953,0.03002556492399078,0.9244999999999999,0.006972573416275468
27,50,2,0.1,0.99,0.8540909090909091,0.03132371929171724,0.15526859504132226,0.07865185660832143,0.3425768398268398,0.15474644677511096,0.8383452380952381,0.024225496590559375
26,50,2,0.1,0.9,0.8540909090909091,0.03132371929171724,0.17440082644628097,0.12627943942867692,0.3425768398268398,0.15474644677511096,0.8383452380952381,0.024225496590559375
25,50,2,0.1,0.2,0.8540909090909091,0.03132371929171724,0.26475206611570246,0.20250692682273796,0.3548290043290043,0.15010903580324633,0.8383452380952381,0.024225496590559375
30,50,2,0.4,0.99,0.8629545454545454,0.022551084748280967,0.18855614973262028,0.08572505931937208,0.3589439775910364,0.18052115005874833,0.8477619047619047,0.011379386002766152
29,50,2,0.4,0.9,0.8629545454545454,0.022551084748280967,0.2174242424242424,0.16145070901506867,0.36004818594104304,0.18131636336365634,0.8477619047619047,0.011379386002766152
28,50,2,0.4,0.2,0.8629545454545454,0.022551084748280967,0.38885281385281384,0.23761061533843536,0.36004818594104304,0.18131636336365634,0.8477619047619047,0.011379386002766152
33,50,2,1.0,0.99,0.8515909090909091,0.033863721103547954,0.17666666666666664,0.09643351779997716,0.39532341269841265,0.19217536863619913,0.8376071428571429,0.02510631526153504
32,50,2,1.0,0.9,0.8515909090909091,0.033863721103547954,0.22265151515151513,0.20343774994440433,0.39189880952380945,0.19304659362380475,0.8376071428571429,0.02510631526153504
31,50,2,1.0,0.2,0.8515909090909091,0.033863721103547954,0.4641666666666666,0.3003911882767262,0.39532341269841265,0.19217536863619913,0.8376071428571429,0.02510631526153504
36,50,5,0.1,0.99,0.8627272727272727,0.01259491057007298,0.24952479338842973,0.14089499763205268,0.3595638528138528,0.15598252577278784,0.8451071428571428,0.009978632058434756
35,50,5,0.1,0.9,0.8627272727272727,0.01259491057007298,0.25510330578512397,0.16686622992051833,0.3595638528138528,0.15598252577278784,0.8451071428571428,0.009978632058434756
34,50,5,0.1,0.5,0.8627272727272727,0.01259491057007298,0.28882231404958675,0.20225694379906653,0.3595638528138528,0.15598252577278784,0.8451071428571428,0.009978632058434756
39,50,5,0.4,0.99,0.8445454545454545,0.027465647631474948,0.33541666666666664,0.16923021606475155,0.39549999999999996,0.18538870153291168,0.8461071428571427,0.01431424069842643
38,50,5,0.4,0.9,0.8445454545454545,0.027465647631474948,0.3600378787878788,0.2139571124559564,0.3958095238095238,0.1866220336581723,0.8461071428571427,0.01431424069842643
37,50,5,0.4,0.5,0.8445454545454545,0.027465647631474948,0.4214015151515151,0.2562198300022098,0.3958095238095238,0.1866220336581723,0.8461071428571427,0.01431424069842643
42,50,5,1.0,0.99,0.8627272727272727,0.026724283485693133,0.36844262295081964,0.19825908034913373,0.40740046838407495,0.20589980769979482,0.8465238095238095,0.011798840960966193
41,50,5,1.0,0.9,0.863409090909091,0.026643628133386624,0.4251136363636363,0.2531367251187906,0.4010734126984126,0.20159649930413465,0.8455714285714284,0.011294796872098332
40,50,5,1.0,0.5,0.863409090909091,0.026643628133386624,0.5533333333333333,0.3070580488688893,0.4010734126984126,0.20159649930413465,0.8455714285714284,0.011294796872098332
45,50,8,0.1,0.99,0.8486363636363636,0.03798772214776934,0.28256198347107436,0.16910912139798434,0.35177922077922075,0.16020032605604437,0.8353452380952382,0.026239879451334255
44,50,8,0.1,0.9,0.8486363636363636,0.03798772214776934,0.2767355371900826,0.17633784173998984,0.3492229437229437,0.1613533704561438,0.8353452380952382,0.026239879451334255
43,50,8,0.1,0.8,0.8486363636363636,0.03798772214776934,0.2851859504132231,0.1758870836345165,0.359047619047619,0.1576310619659703,0.8353452380952382,0.026239879451334255
48,50,8,0.4,0.99,0.8581818181818182,0.031239323244980945,0.42719696969696963,0.21560739064789444,0.41085317460317455,0.19745480106095498,0.8405714285714285,0.027156475744380456
47,50,8,0.4,0.9,0.8581818181818182,0.031239323244980945,0.4312121212121212,0.2342951547625795,0.41085317460317455,0.19745480106095498,0.8405714285714285,0.027156475744380456
46,50,8,0.4,0.8,0.8581818181818182,0.031239323244980945,0.45223484848484846,0.24685105059509835,0.41085317460317455,0.19745480106095498,0.8405714285714285,0.027156475744380456
51,50,8,1.0,0.99,0.8554545454545455,0.01738137018145452,0.4666666666666667,0.25391722589019583,0.40242063492063485,0.19144699971663423,0.8455833333333332,0.009524710605520901
50,50,8,1.0,0.9,0.8554545454545455,0.01738137018145452,0.48113636363636364,0.2731270503414835,0.4039662698412698,0.19103672628790602,0.8455833333333332,0.009524710605520901
49,50,8,1.0,0.8,0.8554545454545455,0.01738137018145452,0.47928030303030306,0.31806708576026915,0.400656746031746,0.1931736453355694,0.8455833333333332,0.009524710605520901
